0.895	0.112	0	0	0	0	0	0	0	0	0	0	0	0.734	0.732	0.734	0.357	0.361	0.357	0.363	0.357	0.363	0.364	0.361	0.642	0.081	0.059	0.059	0.078	0.857	0	0	0	0	0	0	0	0	0.078	0.031	0	0.936	0.934	0.92	0.919	0.919	0.918	0.919	0.918	0.915	0.912	0.911	0.909	0.904	0.902	0.894	0.893	0.894	0.892	0.844	0.001	0	0	0	0.001	0.001	0	0.001	0.002	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.779	0.779	0.779	0.332	0.331	0.332	0.332	0.331	0.332	0.331	0.331	0.669	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0.777	0.777	0.335	0.334	0.335	0.335	0.334	0.335	0.334	0.334	0.666	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.888	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0.777	0.777	0.334	0.335	0.334	0.334	0.335	0.334	0.335	0.335	0.664	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0.778	0.778	0.332	0.332	0.332	0.332	0.332	0.332	0.332	0.332	0.668	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.89	0	0	0	0	0	0	0	0	0	
0.999	0.001	0	0	0	0	0	0	0	0	0	0	0	0.775	0.778	0.775	0.335	0.333	0.335	0.334	0.335	0.334	0.335	0.336	0.666	0	0	0	0	1	0	0	0	0	0	0	0	0	0.001	0	0	0.999	0.999	0.998	0.998	0.998	0.998	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.779	0.777	0.779	0.333	0.332	0.333	0.333	0.331	0.333	0.331	0.331	0.669	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.89	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0.779	0.777	0.332	0.333	0.332	0.332	0.333	0.332	0.333	0.333	0.667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0.777	0.778	0.334	0.334	0.334	0.334	0.334	0.334	0.334	0.334	0.666	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
0.999	0.001	0	0	0	0	0	0	0	0	0	0	0	0.779	0.778	0.779	0.334	0.334	0.334	0.332	0.333	0.332	0.334	0.335	0.667	0.001	0	0	0	1	0	0	0	0	0	0	0	0	0	0.001	0	1	1	1	1	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0.777	0.778	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.89	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0.778	0.778	0.332	0.334	0.332	0.331	0.333	0.331	0.333	0.333	0.666	0.001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
0.999	0.001	0	0	0	0	0	0	0	0	0	0	0	0.531	0.481	0.531	0.572	0.572	0.572	0.312	0.262	0.312	0.573	0.67	0.835	0.505	0.505	0.505	0.505	0.495	0	0	0	0	0	0	0	0	0	0.001	0	1	1	0.64	0.641	0.64	0.641	1	1	1	1	1	1	1	1	0.999	0.999	0.999	0.999	0.897	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.288	0.193	0.288	0.807	0.808	0.807	0.289	0.193	0.289	0.807	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.289	0.288	0.289	0.288	1	1	1	1	1	1	1	1	1	1	1	1	0.903	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.262	0.34	0.755	0.752	0.755	0.295	0.211	0.295	0.752	0.925	0.961	0.887	0.886	0.886	0.886	0.114	0	0	0	0	0	0	0	0	0	0	0	1	1	0.371	0.37	0.371	0.37	1	1	1	1	1	1	1	1	1	1	1	1	0.902	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.779	0.777	0.779	0.333	0.334	0.333	0.333	0.334	0.333	0.334	0.334	0.666	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0.779	0.777	0.333	0.332	0.333	0.333	0.332	0.333	0.332	0.332	0.668	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0.778	0.778	0.333	0.334	0.333	0.333	0.334	0.333	0.333	0.333	0.667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.888	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0.778	0.778	0.334	0.334	0.334	0.334	0.334	0.334	0.335	0.335	0.665	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.888	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0.779	0.777	0.333	0.332	0.333	0.333	0.332	0.333	0.332	0.332	0.668	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0.775	0.777	0.336	0.336	0.336	0.335	0.336	0.335	0.336	0.337	0.665	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.888	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0.778	0.778	0.334	0.332	0.334	0.334	0.332	0.334	0.332	0.332	0.668	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.889	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0.779	0.778	0.779	0.333	0.334	0.333	0.332	0.333	0.332	0.333	0.334	0.666	0.001	0.001	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	1	1	0.999	0.999	0.999	0.999	1	1	1	1	1	1	1	1	1	1	1	1	0.888	0	0	0	0	0	0	0	0	0	
