0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	 7632718176994469342
0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	 6335495477815605855
0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	 1958721467594101022
0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	 1496769074213359230
0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	 716853798341173391
0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	 986540028209229719
1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	 -1521918436431390265
1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	 -7974988815006355520
0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	 7368508483242029222
1	0	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	 -7462483144308439948
